timestamp,event_type,mouse_x,mouse_y,mouse_dx,mouse_dy,mouse_speed,button,pressed,scroll_dx,scroll_dy,key,inter_key_interval,session_id,label
1778951257.9687107,KEY_PRESS,,,,,,,,,,j,,S08,high
1778951258.0829332,KEY_RELEASE,,,,,,,,,,j,0.1142,S08,high
1778951258.2310562,KEY_PRESS,,,,,,,,,,d,0.1481,S08,high
1778951258.3561337,KEY_PRESS,,,,,,,,,,i,0.1251,S08,high
1778951258.406121,KEY_RELEASE,,,,,,,,,,d,0.05,S08,high
1778951258.4952114,KEY_RELEASE,,,,,,,,,,i,0.0891,S08,high
1778951258.622139,KEY_PRESS,,,,,,,,,,h,0.1269,S08,high
1778951258.745347,KEY_RELEASE,,,,,,,,,,h,0.1232,S08,high
1778951258.7879562,KEY_PRESS,,,,,,,,,,a,0.0426,S08,high
1778951258.9290988,KEY_RELEASE,,,,,,,,,,a,0.1411,S08,high
1778951259.0921385,KEY_PRESS,,,,,,,,,,l,0.163,S08,high
1778951259.1426413,KEY_PRESS,,,,,,,,,,j,0.0505,S08,high
1778951259.2916858,KEY_PRESS,,,,,,,,,,d,0.149,S08,high
1778951259.3184676,KEY_RELEASE,,,,,,,,,,l,0.0268,S08,high
1778951259.457538,KEY_RELEASE,,,,,,,,,,d,0.1391,S08,high
1778951259.5007021,KEY_PRESS,,,,,,,,,,f,0.0432,S08,high
1778951259.5439305,KEY_RELEASE,,,,,,,,,,j,0.0432,S08,high
1778951259.6041734,KEY_RELEASE,,,,,,,,,,f,0.0602,S08,high
1778951259.6544077,KEY_PRESS,,,,,,,,,,Key.space,0.0502,S08,high
1778951259.9207647,KEY_RELEASE,,,,,,,,,,Key.space,0.2664,S08,high
1778951260.180345,KEY_PRESS,,,,,,,,,,l,0.2596,S08,high
1778951260.2314856,KEY_PRESS,,,,,,,,,,k,0.0511,S08,high
1778951260.2647593,KEY_PRESS,,,,,,,,,,j,0.0333,S08,high
1778951260.3239076,KEY_RELEASE,,,,,,,,,,l,0.0591,S08,high
1778951260.3246439,KEY_RELEASE,,,,,,,,,,k,0.0007,S08,high
1778951260.428687,KEY_RELEASE,,,,,,,,,,j,0.104,S08,high
1778951260.5533195,KEY_PRESS,,,,,,,,,,Key.space,0.1246,S08,high
1778951260.7155015,KEY_RELEASE,,,,,,,,,,Key.space,0.1622,S08,high
1778951260.9090304,KEY_PRESS,,,,,,,,,,k,0.1935,S08,high
1778951260.986646,KEY_PRESS,,,,,,,,,,j,0.0776,S08,high
1778951261.0280287,KEY_RELEASE,,,,,,,,,,k,0.0414,S08,high
1778951261.02881,KEY_PRESS,,,,,,,,,,a,0.0008,S08,high
1778951261.1485574,KEY_RELEASE,,,,,,,,,,a,0.1197,S08,high
1778951261.1664333,KEY_RELEASE,,,,,,,,,,j,0.0179,S08,high
1778951261.2799625,KEY_PRESS,,,,,,,,,,Key.space,0.1135,S08,high
1778951261.447875,KEY_RELEASE,,,,,,,,,,Key.space,0.1679,S08,high
1778951261.4791627,KEY_PRESS,,,,,,,,,,l,0.0313,S08,high
1778951261.5304124,KEY_PRESS,,,,,,,,,,k,0.0512,S08,high
1778951261.62615,KEY_PRESS,,,,,,,,,,j,0.0957,S08,high
1778951261.652131,KEY_RELEASE,,,,,,,,,,l,0.026,S08,high
1778951261.685339,KEY_RELEASE,,,,,,,,,,k,0.0332,S08,high
1778951261.7815592,KEY_RELEASE,,,,,,,,,,j,0.0962,S08,high
1778951261.8092473,KEY_PRESS,,,,,,,,,,Key.space,0.0277,S08,high
1778951261.93552,KEY_RELEASE,,,,,,,,,,Key.space,0.1263,S08,high
1778951261.936452,KEY_PRESS,,,,,,,,,,a,0.0009,S08,high
1778951262.050681,KEY_PRESS,,,,,,,,,,d,0.1142,S08,high
1778951262.0746982,KEY_RELEASE,,,,,,,,,,a,0.024,S08,high
1778951262.092854,KEY_PRESS,,,,,,,,,,k,0.0182,S08,high
1778951262.1353905,KEY_PRESS,,,,,,,,,,j,0.0425,S08,high
1778951262.1998975,KEY_RELEASE,,,,,,,,,,k,0.0645,S08,high
1778951262.2004445,KEY_PRESS,,,,,,,,,,f,0.0005,S08,high
1778951262.2011254,KEY_RELEASE,,,,,,,,,,d,0.0007,S08,high
1778951262.2947345,KEY_RELEASE,,,,,,,,,,j,0.0936,S08,high
1778951262.2953885,KEY_RELEASE,,,,,,,,,,f,0.0007,S08,high
1778951262.3539722,KEY_PRESS,,,,,,,,,,Key.space,0.0586,S08,high
1778951262.4682977,KEY_RELEASE,,,,,,,,,,Key.space,0.1143,S08,high
1778951262.5434954,KEY_PRESS,,,,,,,,,,l,0.0752,S08,high
1778951262.6035419,KEY_PRESS,,,,,,,,,,k,0.06,S08,high
1778951262.7229195,KEY_RELEASE,,,,,,,,,,l,0.1194,S08,high
1778951262.7235546,KEY_RELEASE,,,,,,,,,,k,0.0006,S08,high
1778951262.7243302,KEY_PRESS,,,,,,,,,,j,0.0008,S08,high
1778951262.8274655,KEY_RELEASE,,,,,,,,,,j,0.1031,S08,high
1778951262.8802333,KEY_PRESS,,,,,,,,,,Key.space,0.0528,S08,high
1778951262.9856093,KEY_RELEASE,,,,,,,,,,Key.space,0.1054,S08,high
1778951263.1408892,KEY_PRESS,,,,,,,,,,a,0.1553,S08,high
1778951263.2402222,KEY_PRESS,,,,,,,,,,l,0.0993,S08,high
1778951263.2621126,KEY_RELEASE,,,,,,,,,,a,0.0219,S08,high
1778951263.298298,KEY_PRESS,,,,,,,,,,k,0.0362,S08,high
1778951263.4009688,KEY_PRESS,,,,,,,,,,j,0.1027,S08,high
1778951263.4014807,KEY_PRESS,,,,,,,,,,f,0.0005,S08,high
1778951263.4273653,KEY_RELEASE,,,,,,,,,,l,0.0259,S08,high
1778951263.4783502,KEY_RELEASE,,,,,,,,,,k,0.051,S08,high
1778951263.5460129,KEY_RELEASE,,,,,,,,,,j,0.0677,S08,high
1778951263.546737,KEY_RELEASE,,,,,,,,,,f,0.0007,S08,high
1778951263.5747178,KEY_PRESS,,,,,,,,,,Key.space,0.028,S08,high
1778951263.715961,KEY_RELEASE,,,,,,,,,,Key.space,0.1412,S08,high
1778951263.8535047,KEY_PRESS,,,,,,,,,,l,0.1375,S08,high
1778951263.8957202,KEY_PRESS,,,,,,,,,,k,0.0422,S08,high
1778951264.0279176,KEY_PRESS,,,,,,,,,,j,0.1322,S08,high
1778951264.0800135,KEY_RELEASE,,,,,,,,,,l,0.0521,S08,high
1778951264.1132839,KEY_RELEASE,,,,,,,,,,k,0.0333,S08,high
1778951264.157445,KEY_PRESS,,,,,,,,,,Key.space,0.0442,S08,high
1778951264.1803844,KEY_RELEASE,,,,,,,,,,j,0.0229,S08,high
1778951264.3732185,KEY_PRESS,,,,,,,,,,a,0.1928,S08,high
1778951264.4287858,KEY_RELEASE,,,,,,,,,,Key.space,0.0556,S08,high
1778951264.4772604,KEY_RELEASE,,,,,,,,,,a,0.0485,S08,high
1778951264.495566,KEY_PRESS,,,,,,,,,,l,0.0183,S08,high
1778951264.5448031,KEY_PRESS,,,,,,,,,,d,0.0492,S08,high
1778951264.613899,KEY_PRESS,,,,,,,,,,k,0.0691,S08,high
1778951264.6146495,KEY_RELEASE,,,,,,,,,,d,0.0008,S08,high
1778951264.6466267,KEY_PRESS,,,,,,,,,,f,0.032,S08,high
1778951264.7414584,KEY_RELEASE,,,,,,,,,,l,0.0948,S08,high
1778951264.7425225,KEY_RELEASE,,,,,,,,,,k,0.0011,S08,high
1778951264.7431486,KEY_PRESS,,,,,,,,,,j,0.0006,S08,high
1778951264.7438743,KEY_RELEASE,,,,,,,,,,f,0.0007,S08,high
1778951264.8284383,KEY_RELEASE,,,,,,,,,,j,0.0846,S08,high
1778951264.870647,KEY_PRESS,,,,,,,,,,Key.space,0.0422,S08,high
1778951264.9938664,KEY_RELEASE,,,,,,,,,,Key.space,0.1232,S08,high
1778951265.0673616,KEY_PRESS,,,,,,,,,,l,0.0735,S08,high
1778951265.0686736,KEY_PRESS,,,,,,,,,,a,0.0013,S08,high
1778951265.1273434,KEY_PRESS,,,,,,,,,,k,0.0587,S08,high
1778951265.218305,KEY_RELEASE,,,,,,,,,,l,0.091,S08,high
1778951265.2186391,KEY_RELEASE,,,,,,,,,,a,0.0003,S08,high
1778951265.2577393,KEY_RELEASE,,,,,,,,,,k,0.0391,S08,high
1778951265.2587087,KEY_PRESS,,,,,,,,,,j,0.001,S08,high
1778951265.2912533,KEY_PRESS,,,,,,,,,,f,0.0325,S08,high
1778951265.343318,KEY_RELEASE,,,,,,,,,,j,0.0521,S08,high
1778951265.376391,KEY_RELEASE,,,,,,,,,,f,0.0331,S08,high
1778951265.5386524,KEY_PRESS,,,,,,,,,,Key.space,0.1623,S08,high
1778951265.644123,KEY_RELEASE,,,,,,,,,,Key.space,0.1055,S08,high
