timestamp,event_type,mouse_x,mouse_y,mouse_dx,mouse_dy,mouse_speed,button,pressed,scroll_dx,scroll_dy,key,inter_key_interval,session_id,label
1778350889.7451208,MOUSE_MOVE,1348,1036,,,,,,,,,,S01,low
1778350889.7524981,MOUSE_MOVE,1327,1002,-21,-34,5416.89,,,,,,,S01,low
1778350889.7599394,MOUSE_MOVE,1308,966,-19,-36,5470.33,,,,,,,S01,low
1778350889.7676525,MOUSE_MOVE,1285,920,-23,-46,6667.84,,,,,,,S01,low
1778350889.774851,MOUSE_MOVE,1265,874,-20,-46,6968.01,,,,,,,S01,low
1778350889.7823458,MOUSE_MOVE,1246,826,-19,-48,6888.03,,,,,,,S01,low
1778350889.7899592,MOUSE_MOVE,1228,778,-18,-48,6733.38,,,,,,,S01,low
1778350889.79725,MOUSE_MOVE,1208,735,-20,-43,6504.55,,,,,,,S01,low
1778350889.8047073,MOUSE_MOVE,1190,693,-18,-42,6127.54,,,,,,,S01,low
1778350889.8122132,MOUSE_MOVE,1176,658,-14,-35,5022.21,,,,,,,S01,low
1778350889.819586,MOUSE_MOVE,1167,633,-9,-25,3603.85,,,,,,,S01,low
1778350889.8269985,MOUSE_MOVE,1156,611,-11,-22,3318.31,,,,,,,S01,low
1778350889.8343518,MOUSE_MOVE,1152,594,-4,-17,2375.02,,,,,,,S01,low
1778350889.8418436,MOUSE_MOVE,1148,582,-4,-12,1688.39,,,,,,,S01,low
1778350889.8491504,MOUSE_MOVE,1147,574,-1,-8,1103.39,,,,,,,S01,low
1778350889.8565955,MOUSE_MOVE,1146,567,-1,-7,949.76,,,,,,,S01,low
1778350889.8642476,MOUSE_MOVE,1145,561,-1,-6,794.92,,,,,,,S01,low
1778350889.8721952,MOUSE_MOVE,1145,556,0,-5,629.11,,,,,,,S01,low
1778350889.879662,MOUSE_MOVE,1145,554,0,-2,267.85,,,,,,,S01,low
1778350889.8867369,MOUSE_MOVE,1145,552,0,-2,282.69,,,,,,,S01,low
1778350889.8942869,MOUSE_MOVE,1145,548,0,-4,529.8,,,,,,,S01,low
1778350889.9018433,MOUSE_MOVE,1147,544,2,-4,591.83,,,,,,,S01,low
1778350889.9092262,MOUSE_MOVE,1149,538,2,-6,856.65,,,,,,,S01,low
1778350889.916374,MOUSE_MOVE,1156,527,7,-11,1824.12,,,,,,,S01,low
1778350889.9238021,MOUSE_MOVE,1167,513,11,-14,2396.89,,,,,,,S01,low
1778350889.9310489,MOUSE_MOVE,1182,495,15,-18,3233.28,,,,,,,S01,low
1778350889.9386141,MOUSE_MOVE,1196,479,14,-16,2810.25,,,,,,,S01,low
1778350889.9460227,MOUSE_MOVE,1210,464,14,-15,2769.52,,,,,,,S01,low
1778350889.9535315,MOUSE_MOVE,1221,451,11,-13,2267.94,,,,,,,S01,low
1778350889.962811,MOUSE_MOVE,1234,439,13,-12,1906.55,,,,,,,S01,low
1778350889.9699085,MOUSE_MOVE,1246,426,12,-13,2492.69,,,,,,,S01,low
1778350889.9757802,MOUSE_MOVE,1257,415,11,-11,2649.34,,,,,,,S01,low
1778350889.9832268,MOUSE_MOVE,1267,407,10,-8,1719.76,,,,,,,S01,low
1778350889.9905677,MOUSE_MOVE,1277,400,10,-7,1662.81,,,,,,,S01,low
1778350889.997911,MOUSE_MOVE,1286,395,9,-5,1402.05,,,,,,,S01,low
1778350890.0055463,MOUSE_MOVE,1292,392,6,-3,878.57,,,,,,,S01,low
1778350890.0131392,MOUSE_MOVE,1297,387,5,-5,931.27,,,,,,,S01,low
1778350890.0206254,MOUSE_MOVE,1301,386,4,-1,550.77,,,,,,,S01,low
1778350890.028053,MOUSE_MOVE,1304,384,3,-2,485.42,,,,,,,S01,low
1778350890.0353549,MOUSE_MOVE,1307,383,3,-1,433.08,,,,,,,S01,low
1778350890.0425925,MOUSE_MOVE,1311,382,4,-1,569.67,,,,,,,S01,low
1778350890.050325,MOUSE_MOVE,1314,382,3,0,387.98,,,,,,,S01,low
1778350890.057441,MOUSE_MOVE,1320,380,6,-2,888.77,,,,,,,S01,low
1778350890.064825,MOUSE_MOVE,1324,380,4,0,541.71,,,,,,,S01,low
1778350890.072208,MOUSE_MOVE,1328,380,4,0,541.79,,,,,,,S01,low
1778350890.0799744,MOUSE_MOVE,1332,380,4,0,515.03,,,,,,,S01,low
1778350890.0872326,MOUSE_MOVE,1336,379,4,-1,568.06,,,,,,,S01,low
1778350890.0943205,MOUSE_MOVE,1341,379,5,0,705.42,,,,,,,S01,low
1778350890.1020749,MOUSE_MOVE,1345,377,4,-2,576.73,,,,,,,S01,low
1778350890.1090322,MOUSE_MOVE,1350,377,5,0,718.67,,,,,,,S01,low
1778350890.1163707,MOUSE_MOVE,1354,376,4,-1,561.84,,,,,,,S01,low
