timestamp,event_type,mouse_x,mouse_y,mouse_dx,mouse_dy,mouse_speed,button,pressed,scroll_dx,scroll_dy,key,inter_key_interval,session_id,label
1778351576.1489742,MOUSE_CLICK,1365,1060,,,,Button.left,True,,,,,S02,high
1778351576.3759377,MOUSE_CLICK,1365,1060,,,,Button.left,False,,,,,S02,high
1778351577.231498,MOUSE_MOVE,1363,1040,,,,,,,,,,S02,high
1778351577.23883,MOUSE_MOVE,1359,998,-4,-42,5754.17,,,,,,,S02,high
1778351577.246665,MOUSE_MOVE,1354,956,-5,-42,5398.47,,,,,,,S02,high
1778351577.2536705,MOUSE_MOVE,1350,911,-4,-45,6448.89,,,,,,,S02,high
1778351577.2611387,MOUSE_MOVE,1348,860,-2,-51,6834.18,,,,,,,S02,high
1778351577.2684815,MOUSE_MOVE,1348,812,0,-48,6537.0,,,,,,,S02,high
1778351577.275915,MOUSE_MOVE,1346,767,-2,-45,6059.72,,,,,,,S02,high
1778351577.283249,MOUSE_MOVE,1347,726,1,-41,5592.07,,,,,,,S02,high
1778351577.2908244,MOUSE_MOVE,1347,692,0,-34,4488.15,,,,,,,S02,high
1778351577.2980547,MOUSE_MOVE,1347,661,0,-31,4287.52,,,,,,,S02,high
1778351577.3055272,MOUSE_MOVE,1348,640,1,-21,2813.48,,,,,,,S02,high
1778351577.312911,MOUSE_MOVE,1350,623,2,-17,2318.21,,,,,,,S02,high
1778351577.3203385,MOUSE_MOVE,1351,606,1,-17,2292.76,,,,,,,S02,high
1778351577.3278942,MOUSE_MOVE,1351,593,0,-13,1720.55,,,,,,,S02,high
1778351577.3354588,MOUSE_MOVE,1352,583,1,-10,1328.55,,,,,,,S02,high
1778351577.3426692,MOUSE_MOVE,1354,574,2,-9,1278.63,,,,,,,S02,high
1778351577.3501248,MOUSE_MOVE,1354,566,0,-8,1073.02,,,,,,,S02,high
1778351577.3574512,MOUSE_MOVE,1355,560,1,-6,830.26,,,,,,,S02,high
1778351577.3648765,MOUSE_MOVE,1356,557,1,-3,425.88,,,,,,,S02,high
1778351577.3726912,MOUSE_MOVE,1356,553,0,-4,511.86,,,,,,,S02,high
1778351577.3797348,MOUSE_MOVE,1356,550,0,-3,425.92,,,,,,,S02,high
1778351577.3872483,MOUSE_MOVE,1356,547,0,-3,399.28,,,,,,,S02,high
