timestamp,event_type,mouse_x,mouse_y,mouse_dx,mouse_dy,mouse_speed,button,pressed,scroll_dx,scroll_dy,key,inter_key_interval,session_id,label
1778351439.3231208,KEY_PRESS,,,,,,,,,,Key.enter,,S02,medium
1778351439.4017377,KEY_RELEASE,,,,,,,,,,Key.enter,0.0786,S02,medium
1778351439.502348,KEY_PRESS,,,,,,,,,,Key.enter,0.1006,S02,medium
1778351439.5453377,KEY_RELEASE,,,,,,,,,,Key.enter,0.043,S02,medium
1778351450.7192042,KEY_PRESS,,,,,,,,,,1,11.1739,S02,medium
1778351450.8240964,KEY_RELEASE,,,,,,,,,,1,0.1049,S02,medium
1778351451.907588,KEY_PRESS,,,,,,,,,,3,1.0835,S02,medium
1778351452.0218678,KEY_RELEASE,,,,,,,,,,3,0.1143,S02,medium
1778351452.6765778,KEY_PRESS,,,,,,,,,,6,0.6547,S02,medium
1778351452.7733073,KEY_RELEASE,,,,,,,,,,6,0.0967,S02,medium
1778351452.9951472,KEY_PRESS,,,,,,,,,,Key.enter,0.2218,S02,medium
1778351453.1093886,KEY_RELEASE,,,,,,,,,,Key.enter,0.1142,S02,medium
1778351458.9540627,KEY_PRESS,,,,,,,,,,1,5.8447,S02,medium
1778351459.059384,KEY_RELEASE,,,,,,,,,,1,0.1053,S02,medium
1778351459.1390398,KEY_PRESS,,,,,,,,,,1,0.0797,S02,medium
1778351459.226274,KEY_RELEASE,,,,,,,,,,1,0.0872,S02,medium
1778351459.3121986,KEY_PRESS,,,,,,,,,,8,0.0859,S02,medium
1778351459.4085166,KEY_RELEASE,,,,,,,,,,8,0.0963,S02,medium
1778351459.5755272,KEY_PRESS,,,,,,,,,,Key.enter,0.167,S02,medium
1778351459.6807225,KEY_RELEASE,,,,,,,,,,Key.enter,0.1052,S02,medium
1778351465.070241,KEY_PRESS,,,,,,,,,,2,5.3895,S02,medium
1778351465.1402643,KEY_RELEASE,,,,,,,,,,2,0.07,S02,medium
1778351465.21319,KEY_PRESS,,,,,,,,,,2,0.0729,S02,medium
1778351465.3005965,KEY_RELEASE,,,,,,,,,,2,0.0874,S02,medium
1778351465.5417607,KEY_PRESS,,,,,,,,,,1,0.2412,S02,medium
1778351465.6293275,KEY_RELEASE,,,,,,,,,,1,0.0876,S02,medium
1778351466.1760204,KEY_PRESS,,,,,,,,,,Key.enter,0.5467,S02,medium
1778351466.2631528,KEY_RELEASE,,,,,,,,,,Key.enter,0.0871,S02,medium
1778351467.0474079,MOUSE_MOVE,1551,323,,,,,,,,,,S02,medium
1778351467.0548518,MOUSE_MOVE,1551,323,0,0,0.0,,,,,,,S02,medium
1778351467.062426,MOUSE_MOVE,1550,323,-1,0,132.03,,,,,,,S02,medium
1778351467.0771406,MOUSE_MOVE,1545,325,-5,2,365.98,,,,,,,S02,medium
1778351467.0861804,MOUSE_MOVE,1536,332,-9,7,1261.27,,,,,,,S02,medium
1778351467.092003,MOUSE_MOVE,1523,343,-13,11,2924.68,,,,,,,S02,medium
1778351467.0993714,MOUSE_MOVE,1506,358,-17,15,3076.9,,,,,,,S02,medium
1778351467.106679,MOUSE_MOVE,1490,374,-16,16,3096.45,,,,,,,S02,medium
1778351467.1140327,MOUSE_MOVE,1466,400,-24,26,4811.62,,,,,,,S02,medium
1778351467.1215262,MOUSE_MOVE,1443,426,-23,26,4632.43,,,,,,,S02,medium
1778351467.1287816,MOUSE_MOVE,1420,448,-23,22,4386.81,,,,,,,S02,medium
