timestamp,event_type,mouse_x,mouse_y,mouse_dx,mouse_dy,mouse_speed,button,pressed,scroll_dx,scroll_dy,key,inter_key_interval,session_id,label
1778351143.1456275,MOUSE_CLICK,1343,1072,,,,Button.left,False,,,,,S01,high
1778351143.705082,MOUSE_MOVE,1343,1054,,,,,,,,,,S01,high
1778351143.7130857,MOUSE_MOVE,1343,1020,0,-34,4248.03,,,,,,,S01,high
1778351143.719692,MOUSE_MOVE,1341,979,-2,-41,6213.54,,,,,,,S01,high
1778351143.7271423,MOUSE_MOVE,1341,935,0,-44,5905.77,,,,,,,S01,high
1778351143.7348378,MOUSE_MOVE,1339,883,-2,-52,6762.25,,,,,,,S01,high
1778351143.742114,MOUSE_MOVE,1340,832,1,-51,7010.41,,,,,,,S01,high
1778351143.749543,MOUSE_MOVE,1340,778,0,-54,7268.92,,,,,,,S01,high
1778351143.7571387,MOUSE_MOVE,1342,726,2,-52,6850.97,,,,,,,S01,high
1778351143.7643642,MOUSE_MOVE,1344,682,2,-44,6095.82,,,,,,,S01,high
1778351143.7717254,MOUSE_MOVE,1349,640,5,-42,5745.9,,,,,,,S01,high
1778351143.779261,MOUSE_MOVE,1352,607,3,-33,4397.22,,,,,,,S01,high
1778351143.7865329,MOUSE_MOVE,1354,576,2,-31,4271.93,,,,,,,S01,high
1778351143.7939785,MOUSE_MOVE,1359,556,5,-20,2768.83,,,,,,,S01,high
1778351143.80177,MOUSE_MOVE,1362,539,3,-17,2215.57,,,,,,,S01,high
1778351143.8089795,MOUSE_MOVE,1366,527,4,-12,1754.5,,,,,,,S01,high
1778351143.8163528,MOUSE_MOVE,1367,515,1,-12,1633.13,,,,,,,S01,high
1778351143.8236916,MOUSE_MOVE,1370,503,3,-12,1685.48,,,,,,,S01,high
1778351143.8310695,MOUSE_MOVE,1371,496,1,-7,958.42,,,,,,,S01,high
1778351143.8386192,MOUSE_MOVE,1372,491,1,-5,675.39,,,,,,,S01,high
1778351143.8457065,MOUSE_MOVE,1373,485,1,-6,858.27,,,,,,,S01,high
1778351143.8534837,MOUSE_MOVE,1373,483,0,-2,257.16,,,,,,,S01,high
1778351143.8608158,MOUSE_MOVE,1373,480,0,-3,409.16,,,,,,,S01,high
1778351143.8678017,MOUSE_MOVE,1374,479,1,-1,202.44,,,,,,,S01,high
1778351143.8753269,MOUSE_MOVE,1374,478,0,-1,132.89,,,,,,,S01,high
1778351143.8827505,MOUSE_MOVE,1374,477,0,-1,134.7,,,,,,,S01,high
1778351143.8902352,MOUSE_MOVE,1374,476,0,-1,133.61,,,,,,,S01,high
1778351143.8976765,MOUSE_MOVE,1374,474,0,-2,268.77,,,,,,,S01,high
1778351143.9125364,MOUSE_MOVE,1374,472,0,-2,134.59,,,,,,,S01,high
1778351143.927317,MOUSE_MOVE,1374,472,0,0,0.0,,,,,,,S01,high
1778351143.9347723,MOUSE_MOVE,1374,471,0,-1,134.13,,,,,,,S01,high
1778351143.9421685,MOUSE_MOVE,1374,470,0,-1,135.2,,,,,,,S01,high
1778351143.9497101,MOUSE_MOVE,1374,470,0,0,0.0,,,,,,,S01,high
1778351143.9571266,MOUSE_MOVE,1374,467,0,-3,404.5,,,,,,,S01,high
1778351143.9643295,MOUSE_MOVE,1373,466,-1,-1,196.34,,,,,,,S01,high
1778351143.9718316,MOUSE_MOVE,1373,466,0,0,0.0,,,,,,,S01,high
1778351143.979251,MOUSE_MOVE,1373,465,0,-1,134.78,,,,,,,S01,high
1778351143.986692,MOUSE_MOVE,1371,463,-2,-2,380.11,,,,,,,S01,high
1778351143.9940765,MOUSE_MOVE,1369,462,-2,-1,302.8,,,,,,,S01,high
1778351144.0014791,MOUSE_MOVE,1364,457,-5,-5,955.21,,,,,,,S01,high
1778351144.009026,MOUSE_MOVE,1361,454,-3,-3,562.17,,,,,,,S01,high
1778351144.0169299,MOUSE_MOVE,1356,450,-5,-4,810.13,,,,,,,S01,high
1778351144.0237947,MOUSE_MOVE,1350,444,-6,-6,1236.06,,,,,,,S01,high
1778351144.0314574,MOUSE_MOVE,1346,439,-4,-5,835.61,,,,,,,S01,high
1778351144.0385537,MOUSE_MOVE,1340,434,-6,-5,1100.61,,,,,,,S01,high
1778351144.0459979,MOUSE_MOVE,1335,427,-5,-7,1155.58,,,,,,,S01,high
1778351144.0534117,MOUSE_MOVE,1329,421,-6,-6,1144.52,,,,,,,S01,high
1778351144.0612962,MOUSE_MOVE,1325,415,-4,-6,914.59,,,,,,,S01,high
1778351144.068265,MOUSE_MOVE,1322,412,-3,-3,608.81,,,,,,,S01,high
1778351144.0757465,MOUSE_MOVE,1320,409,-2,-3,481.92,,,,,,,S01,high
1778351144.0833545,MOUSE_MOVE,1317,405,-3,-4,657.21,,,,,,,S01,high
1778351144.0908897,MOUSE_MOVE,1316,403,-1,-2,296.75,,,,,,,S01,high
1778351144.0978851,MOUSE_MOVE,1315,402,-1,-1,202.16,,,,,,,S01,high
1778351144.1057804,MOUSE_MOVE,1314,401,-1,-1,179.12,,,,,,,S01,high
1778351144.112989,MOUSE_MOVE,1313,400,-1,-1,196.18,,,,,,,S01,high
1778351144.1203141,MOUSE_MOVE,1313,399,0,-1,136.52,,,,,,,S01,high
